id,Name,Description,Description_EN,Level,BeginnerTime,BeginnerCount,TargetMuscle,TargetMuscle_EN,MET,Part,Equipment,BasicCount,IntermediateCount,AdvancedCount,CaloriesPerRep,UpperCalibration,TargetDevice,LowerCalibration,exCategory,Multiply,Side,Type,AnimationFile,ClipSource,ImageFile
72,몸통 비틀며 무릎 들기,"몸통을 비틀면서 무릎을 번갈아 들어 올리는 운동입니다. 이 동작은 코어 근육을 강화하고, 균형 및 조정 능력을 향상시키는 데 도움이 됩니다.",This exercise involves twisting the torso while alternately lifting the knees. It strengthens the core muscles and improves balance and coordination.,Normal,30,15,"[""복직근"", ""외복사근"", ""척추기립근""]","[""Abs"", ""Obliques"", ""Lower Back""]",4,"[""코어""]",1,20,30,45,0.25,,"[3,4]",0,1,1,0,둘다,,https://youtu.be/YlMX1IdZuGc,
73,"무릎,팔 들어올리기","무릎, 팔 들어올리기는 서서 한쪽 무릎과 반대쪽 팔을 동시에 들어올리는 운동입니다. 이 운동은 균형 감각과 코어의 안정성을 향상시키는 데 도움이 됩니다.",The knee and arm raise involves standing and simultaneously lifting one knee and the opposite arm. This exercise helps improve balance and core stability.,Easy,30,10,"[""복직근"", ""삼각근"", ""대퇴사두근""]","[""Abs"", ""Shoulders"", ""Quads""]",3,"[""코어"", ""어깨"", ""하체""]",1,15,20,30,0.18,,"[3,4]",0,1,1,0,상체,,https://youtu.be/z9YjoihN-HQ,
74,몸통 비틀며 걷기,"몸통 비틀며 걷기는 몸통을 좌우로 비틀면서 걷는 동작으로, 코어 근육의 안정성과 유연성을 향상시키는 데 도움이 됩니다. 이 운동은 복부와 허리 주변 근육을 강화하며, 균형 감각을 개선하는 데에도 효과적입니다.","Twisting torso while walking involves rotating the torso from side to side as you walk, which helps improve stability and flexibility in the core muscles. This exercise strengthens the muscles around the abdomen and lower back, and is also effective in enhancing balance.",Normal,60,30,"[""복직근"", ""외복사근"", ""척추기립근""]","[""Abs"", ""Obliques"", ""Lower Back""]",3.5,"[""코어""]",1,30,50,70,0.21,,"[3,4]",0,1,1,0,둘다,,https://youtu.be/BC2IT_IWLZE,
75,버트 킥 로우,버트 킥 로우는 하체와 상체의 근력을 동시에 강화하는 복합 운동입니다. 이 운동은 대둔근을 활성화시키면서 동시에 등 근육을 강화합니다.,The Butt Kick Row is a compound exercise that simultaneously strengthens the lower and upper body. It activates the glutes while also strengthening the back muscles.,Normal,30,10,"[""대둔근"", ""광배근"", ""대퇴이두근""]","[""Glutes"", ""Lats"", ""Hamstrings""]",6,"[""하체"", ""등""]",1,12,15,20,0.37,0,"[3,4]",0,1,1,0,하체,,https://www.youtube.com/watch?v=yNiKGwhkYkk,
76,숄더 터치,"숄더 터치는 플랭크 자세에서 시작하여 한 손으로 반대쪽 어깨를 가볍게 터치하는 운동입니다. 이 동작은 균형과 안정성을 향상시키며, 코어 근육을 강화하는 데 도움을 줍니다.","Shoulder Touch starts in a plank position and involves lightly touching the opposite shoulder with one hand. This exercise improves balance and stability, and aids in strengthening the core muscles.",Normal,30,10,"[""삼각근"", ""복직근"", ""승모근""]","[""Shoulders"", ""Abs"", ""Traps""]",4,"[""어깨"", ""코어""]",1,15,20,30,0.25,1,"[1,2]",,1,1,0,둘다,,https://youtu.be/pYM7e4XBKVo,
77,"무릎, 다리 들어올리기","무릎, 다리 들어올리기는 복부의 근육을 강화하고 유연성을 향상시키는 운동입니다. 무릎을 가슴 쪽으로 당기면서 다리를 번갈아 들어올리는 동작을 반복합니다.",Knee and leg raises are exercises that strengthen the abdominal muscles and improve flexibility. The movement involves alternately lifting the legs while pulling the knees towards the chest.,Normal,30,10,"[""복직근"", ""내복사근"", ""외복사근""]","[""Abs"", ""Obliques"", ""Obliques""]",3.5,"[""코어""]",1,15,20,30,0.21,,"[3,4]",0,1,1,0,둘다,,https://youtu.be/eQejIl7-HAU,
78,팔다리 진자 운동,"팔다리 진자 운동은 팔과 다리를 번갈아 가며 앞뒤로 흔드는 동작을 포함합니다. 이 운동은 균형과 조정 능력을 향상시키며, 핵심 근육을 강화하는 데 도움이 됩니다.","The arm and leg pendulum exercise involves swinging the arms and legs alternately back and forth. This exercise improves balance and coordination, and helps strengthen core muscles.",Normal,30,10,"[""복직근"", ""대둔근"", ""척추기립근""]","[""Abs"", ""Glutes"", ""Lower Back""]",3.5,"[""코어"", ""힙"", ""하체""]",1,15,20,30,0.21,0,"[1,2]",,1,1,0,둘다,,https://youtu.be/APymTy4aDkE,
79,서서 다리 올리기,"서서 다리 올리기는 주로 하체와 코어 근육을 강화하는 운동입니다. 이 운동은 서서 한쪽 다리를 들어 올리면서 균형을 잡는 동작을 반복합니다. 복부 근육을 사용하여 몸통을 안정시키고, 다리를 들어 올릴 때 하체 근육을 활성화시킵니다.","Standing leg raises primarily strengthen the lower body and core muscles. This exercise involves standing and lifting one leg at a time, maintaining balance. It engages the abdominal muscles to stabilize the torso and activates the lower body muscles during the leg lift.",Easy,30,10,"[""복직근"", ""대퇴사두근"", ""대퇴이두근""]","[""Abs"", ""Quads"", ""Hamstrings""]",3,"[""하체"", ""코어""]",1,15,20,30,0.18,,"[3,4]",0,1,1,0,상체,,https://youtu.be/hQRZcSVTy-A,
80,백킥 오버헤드 프레스,"백킥 오버헤드 프레스는 하체와 상체의 근력을 동시에 강화하는 복합 운동입니다. 백킥 동작으로 대둔근과 대퇴이두근을 활성화시키며, 오버헤드 프레스로 삼각근을 강화합니다.","The Back Kick Overhead Press is a compound exercise that simultaneously strengthens the lower and upper body. The back kick activates the glutes and hamstrings, while the overhead press strengthens the shoulders.",Normal,30,8,"[""대둔근"", ""대퇴이두근"", ""삼각근""]","[""Glutes"", ""Hamstrings"", ""Shoulders""]",8,"[""하체"", ""어깨""]",2,10,12,15,0.49,,"[3,4]",2,1,1,0,둘다,,https://youtu.be/C7bziKo2Xlc,
81,다리 올리며 펀치,"다리 올리며 펀치는 서서 한쪽 다리를 들고 반대쪽 팔로 펀치를 하는 동작을 반복하는 운동입니다. 이 운동은 균형, 복부 근육의 안정성 및 상체의 힘을 동시에 향상시킵니다.","Leg Lifts with Punches involve standing on one leg while lifting the opposite leg and punching with the opposite arm. This exercise improves balance, core stability, and upper body strength simultaneously.",Normal,30,10,"[""복직근"", ""삼각근"", ""대퇴사두근""]","[""Abs"", ""Shoulders"", ""Quads""]",4,"[""코어"", ""어깨"", ""하체""]",1,15,20,30,0.25,0,"[1,2]",,1,1,0,둘다,,https://youtu.be/4yFxBBXWyVQ,
82,버트 킥,"버트 킥은 주로 하체와 힙을 강화하는 운동입니다. 이 운동은 누워서 한 다리를 공중으로 들어 올리면서 뒤로 차는 동작을 반복합니다. 이는 대둔근과 대퇴이두근을 주로 사용하며, 척추기립근의 안정성도 도움을 줍니다.","Butt kicks primarily target the lower body and glutes. The exercise is performed by lying down and repetitively kicking one leg back into the air. It primarily engages the glutes and hamstrings, while also aiding in the stability of the lower back muscles.",Easy,30,15,"[""대둔근"", ""대퇴이두근"", ""척추기립근""]","[""Glutes"", ""Hamstrings"", ""Lower Back""]",3.5,"[""하체"", ""힙""]",1,20,30,45,0.21,,"[3,4]",1,1,1,0,하체,,https://www.youtube.com/watch?v=iNDDyli9FLc,
83,팔 뻗고 버트 킥,팔 뻗고 버트 킥은 서서 한쪽 다리를 뒤로 차면서 반대쪽 팔을 앞으로 뻗는 동작을 반복하는 운동입니다. 이 운동은 균형 감각과 하체의 힘을 동시에 향상시킬 수 있습니다.,"The Arm Extended Butt Kick involves standing and kicking one leg back while extending the opposite arm forward, repeating this motion. This exercise improves both balance and lower body strength.",Normal,30,10,"[""대둔근"", ""대퇴이두근"", ""복직근""]","[""Glutes"", ""Hamstrings"", ""Abs""]",4,"[""하체"", ""코어""]",1,15,20,30,0.25,,"[3,4]",0,1,1,0,둘다,,https://youtu.be/nCcXes78LcA,
84,전신 크런치,"전신 크런치는 복부의 주요 근육을 강화하는 운동으로, 누워서 다리와 상체를 동시에 들어 올리면서 복부에 힘을 주는 동작을 반복합니다. 이 운동은 복부 근육의 수축과 이완을 통해 핵심 근육을 강화하는 데 효과적입니다.","The full-body crunch is an exercise that strengthens the main muscles of the abdomen. It involves lying down, lifting both legs and the upper body simultaneously, and contracting the abdominal muscles. This exercise effectively strengthens the core muscles through contraction and relaxation.",Normal,60,15,"[""복직근"", ""외복사근"", ""복횡근""]","[""Abs"", ""Obliques"", ""Core""]",3.5,"[""코어""]",1,20,25,35,0.21,,"[3,4]",2,1,1,0,상체,,https://www.youtube.com/watch?v=qo673aNXqFs,
85,사이드 셔플 탭,"사이드 셔플 탭은 빠른 발 움직임과 방향 전환을 요구하는 운동으로, 하체의 민첩성과 속도를 향상시키는 데 도움이 됩니다. 이 운동은 다리를 좌우로 빠르게 움직이면서 탭 동작을 추가하여 하체 근육을 강화합니다.","The Side Shuffle Tap involves rapid foot movements and directional changes, enhancing lower body agility and speed. This exercise incorporates fast side-to-side leg movements with a tapping action to strengthen the lower body muscles.",Normal,30,15,"[""대둔근"", ""대퇴이두근"", ""복직근""]","[""Glutes"", ""Hamstrings"", ""Abs""]",8,"[""하체"", ""코어""]",1,20,30,45,0.49,,"[3,4]",2,1,1,0,하체,,https://youtu.be/53bsEKf5wHY,
86,해머 슬램,"해머 슬램은 무게가 있는 해머나 덤벨을 이용하여 바닥에 강하게 내리치는 운동입니다. 이 운동은 전신의 힘과 폭발력을 증가시키는 데 도움이 되며, 특히 코어와 상체의 근력을 강화하는 데 효과적입니다.","Hammer Slam involves forcefully slamming a weighted hammer or dumbbell onto the ground. This exercise helps increase overall strength and explosive power, particularly enhancing core and upper body strength.",Hard,30,10,"[""복직근"", ""삼각근"", ""광배근""]","[""Abs"", ""Shoulders"", ""Lats""]",8,"[""코어"", ""어깨"", ""등""]",2,15,20,30,0.49,,"[3,4]",0,1,1,0,하체,,https://youtu.be/9ILtGecJh3s,
87,스프린터 점프,스프린터 점프는 한쪽 다리로 뛰어오르며 반대쪽 무릎을 가슴 높이까지 들어올리는 동작을 반복하는 운동입니다. 이 운동은 하체의 폭발적인 힘과 속도를 향상시키는 데 도움이 됩니다.,Sprinter jumps involve hopping on one leg while lifting the opposite knee to chest height in a repetitive motion. This exercise aids in enhancing explosive power and speed in the lower body.,Hard,20,10,"[""대퇴사두근"", ""대둔근"", ""복직근""]","[""Quads"", ""Glutes"", ""Abs""]",8,"[""하체"", ""코어""]",1,15,20,30,0.49,,"[3,4]",1,1,1,0,하체,,https://www.youtube.com/watch?v=_me95mL07cI,
88,엎드려 상체 들기,엎드려 상체 들기는 등과 코어 근육을 강화하는 운동입니다. 바닥에 엎드린 상태에서 상체를 들어 올리면서 척추기립근과 광배근을 사용합니다. 이 운동은 척추의 안정성과 유연성을 향상시키는 데 도움이 됩니다.,"Prone torso lifts strengthen the back and core muscles. Lying face down, lifting the upper body engages the erector spinae and latissimus dorsi. This exercise aids in improving spinal stability and flexibility.",Normal,30,8,"[""척추기립근"", ""광배근"", ""복직근""]","[""Lower Back"", ""Lats"", ""Abs""]",3.5,"[""등"", ""코어""]",1,10,12,15,0.21,0,"[1,2]",,1,1,0,상체,,https://youtu.be/JxNuqyJvNUc,
89,바이시클 크런치 2,바이시클 크런치는 누워서 양쪽 무릎을 번갈아 가며 가슴 쪽으로 당기면서 상체를 반대 방향으로 비틀어 주는 복부 운동입니다. 이 운동은 복부의 근육을 포괄적으로 자극하여 코어 강화에 효과적입니다.,Bicycle crunches involve lying on your back and alternately pulling your knees towards your chest while twisting your upper body in the opposite direction. This exercise effectively engages and strengthens the core muscles comprehensively.,Normal,30,15,"[""복직근"", ""외복사근"", ""비복근""]","[""Abs"", ""Obliques"", ""Calves""]",4,"[""코어""]",1,20,30,45,0.25,,"[3,4]",2,1,1,0,상체,,https://youtu.be/EbwmFopkzDU,
90,풀다운 니업(L),풀다운 니업은 코어와 하체의 근력을 동시에 강화하는 운동입니다. 이 운동은 풀다운 기구를 사용하여 상체를 고정시킨 상태에서 무릎을 가슴 쪽으로 당기는 동작을 반복합니다.,The Pull-down Knee-up exercise simultaneously strengthens the core and lower body. This exercise involves pulling the knees towards the chest while keeping the upper body fixed using a pull-down machine.,Normal,30,8,"[""복직근"", ""대퇴이두근"", ""광배근""]","[""Abs"", ""Hamstrings"", ""Lats""]",6,"[""코어"", ""하체""]",3,10,15,20,0.37,,[3],0,1,1,1,둘다,,https://youtu.be/_8lsmLMySek,
91,풀다운 니업(R),풀다운 니업은 상체의 광배근과 코어 근육을 동시에 강화하는 운동입니다. 이 운동은 풀다운 기구를 사용하여 상체를 고정시킨 상태에서 무릎을 가슴 쪽으로 당기는 동작을 반복합니다.,The Pulldown Knee-up exercise simultaneously strengthens the latissimus dorsi and core muscles. This exercise involves pulling the knees towards the chest while keeping the upper body fixed using a pulldown machine.,Normal,60,10,"[""광배근"", ""복직근"", ""척추기립근""]","[""Lats"", ""Abs"", ""Lower Back""]",6,"[""등"", ""코어""]",3,10,15,20,0.37,,[4],0,1,1,0,둘다,,https://youtu.be/_8lsmLMySek,
92,다운 도그 크런치(L),다운 도그 크런치는 요가의 다운 도그 자세에서 시작하여 한쪽 무릎을 가슴 쪽으로 당기는 동작을 반복하는 운동입니다. 이 운동은 균형과 핵심 근육의 힘을 키우는 데 도움이 됩니다.,The Down Dog Crunch starts from the yoga Down Dog position and involves pulling one knee towards the chest repeatedly. This exercise helps improve balance and strengthens the core muscles.,Normal,30,8,"[""복직근"", ""대둔근"", ""척추기립근""]","[""Abs"", ""Glutes"", ""Lower Back""]",3.5,"[""코어"", ""힙""]",1,10,12,15,0.21,,[3],2,1,1,1,상체,,https://youtu.be/iXrAESHnVoA,
93,다운 도그 크런치(R),"다운 도그 크런치는 요가의 다운 도그 자세에서 시작하여 한쪽 무릎을 가슴 쪽으로 당기면서 복부에 힘을 주는 동작을 반복하는 운동입니다. 이 운동은 균형, 유연성 및 핵심 근육의 힘을 키우는 데 도움이 됩니다.","The Down Dog Crunch starts from the yoga Down Dog position, pulling one knee towards the chest while engaging the core. This exercise helps improve balance, flexibility, and strength in the core muscles.",Normal,30,8,"[""복직근"", ""대둔근"", ""척추기립근""]","[""Abs"", ""Glutes"", ""Lower Back""]",3.5,"[""코어"", ""힙""]",1,10,15,20,0.21,,[4],2,1,1,0,상체,,https://youtu.be/iXrAESHnVoA,
94,사이드 플랭크 크런치(L),사이드 플랭크 크런치는 코어 근육을 강화하고 복부의 안정성을 향상시키는 운동입니다. 이 운동은 사이드 플랭크 자세에서 시작하여 상체와 하체를 동시에 크런치하는 동작을 포함합니다.,The Side Plank Crunch is an exercise that strengthens core muscles and improves abdominal stability. It starts in a side plank position and involves a simultaneous crunching motion of the upper and lower body.,Normal,30,8,"[""복직근"", ""외복사근"", ""척추기립근""]","[""Abs"", ""Obliques"", ""Lower Back""]",4,"[""코어""]",1,10,15,20,0.25,,[3],2,1,1,1,상체,,https://youtu.be/_UE7wvnyfXo,
95,사이드 플랭크 크런치(R),사이드 플랭크 크런치는 코어 근육을 강화하고 균형 및 안정성을 향상시키는 운동입니다. 이 운동은 사이드 플랭크 자세에서 시작하여 상체와 하체를 동시에 크런치하는 동작을 포함합니다.,The Side Plank Crunch is an exercise that strengthens core muscles and improves balance and stability. It starts in a side plank position and involves crunching both the upper and lower body simultaneously.,Normal,30,8,"[""복직근"", ""외복사근"", ""척추기립근""]","[""Abs"", ""Obliques"", ""Lower Back""]",4,"[""코어""]",1,10,15,20,0.25,,[4],2,1,1,0,상체,,https://youtu.be/_UE7wvnyfXo,
96,스탭 백 니 쓰러스트(L),"스탭 백 니 쓰러스트는 한 발을 뒤로 크게 내디디며 무릎을 굽히는 동작과 동시에 반대쪽 무릎을 앞으로 높이 들어올리는 운동입니다. 이 동작은 하체의 근력과 균형, 그리고 폭발적인 힘을 키우는 데 도움을 줍니다.","The Step Back Knee Thrust involves a large step back with one leg while bending the knee, combined with lifting the opposite knee high in front. This exercise helps to develop lower body strength, balance, and explosive power.",Normal,30,10,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,15,20,30,0.37,,[3],1,1,1,1,하체,,https://youtu.be/uwpRgJZ7VSA,
97,스탭 백 니 쓰러스트(R),"스탭 백 니 쓰러스트는 한 발을 뒤로 크게 내디디며 무릎을 굽히는 동작과 동시에 반대쪽 무릎을 앞으로 높이 들어올리는 운동입니다. 이 동작은 하체의 근력과 균형, 폭발력을 향상시키는 데 도움이 됩니다.","The Step Back Knee Thrust involves stepping one foot back into a deep lunge while simultaneously lifting the opposite knee high in front. This exercise helps improve lower body strength, balance, and explosive power.",Normal,30,10,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",6,"[""하체""]",1,15,20,30,0.37,,[4],1,1,1,0,하체,,https://youtu.be/uwpRgJZ7VSA,
98,딥 런지(L),딥 런지는 한쪽 다리를 앞으로 크게 내딛으면서 무릎이 바닥에 닿을 뻔하는 깊은 자세까지 내려가는 운동입니다. 이 동작은 하체의 근력과 균형을 향상시키는 데 효과적입니다.,The deep lunge involves taking a large step forward with one leg and lowering down until the knee almost touches the ground. This exercise effectively enhances lower body strength and balance.,Normal,60,10,"[""대둔근"", ""대퇴사두근"", ""대퇴이두근""]","[""Glutes"", ""Quads"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,15,20,30,0.37,,[3],1,1,1,0,하체,,https://youtu.be/zGkFm6tl6dY,
99,딥 런지(R),"딥 런지는 한 발을 앞으로 크게 내디디며 수행하는 운동으로, 뒷발은 뒤꿈치가 들리고 앞발은 발바닥 전체가 바닥에 닿도록 합니다. 이 운동은 하체의 근력과 균형을 향상시키는 데 효과적입니다.","The deep lunge involves taking a large step forward with one foot, keeping the heel off the ground on the back foot and the entire sole on the front foot. This exercise effectively improves lower body strength and balance.",Normal,30,8,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,10,12,15,0.37,,[4],1,1,1,0,하체,,https://youtu.be/zGkFm6tl6dY,
100,불가리안 스플릿 스쿼트(L),"불가리안 스플릿 스쿼트는 한쪽 다리를 뒤쪽에 올려놓고 수행하는 스쿼트 변형 운동입니다. 이 운동은 하체의 근력과 균형을 향상시키는 데 효과적이며, 특히 대퇴사두근과 대둔근을 집중적으로 자극합니다.","The Bulgarian Split Squat is a variation of the squat performed with one leg elevated behind the body. This exercise effectively improves lower body strength and balance, particularly targeting the quads and glutes.",Hard,30,8,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,10,12,15,0.37,,[3],0,1,1,1,둘다,,https://youtu.be/GgEwr18jCvk,
101,불가리안 스플릿 스쿼트(R),불가리안 스플릿 스쿼트는 한쪽 다리를 뒤쪽에 올려놓고 수행하는 스쿼트 변형 운동입니다. 이 운동은 하체의 근력과 균형을 향상시키는 데 효과적입니다.,The Bulgarian Split Squat is a variation of squats performed with one leg elevated behind you. This exercise effectively enhances lower body strength and balance.,Hard,30,8,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,12,15,20,0.37,,[4],0,1,1,0,둘다,,https://youtu.be/GgEwr18jCvk,
102,스플릿 스쿼트(L),스플릿 스쿼트는 한쪽 다리를 앞으로 내딛고 다른 다리는 뒤로 뻗어 수행하는 운동입니다. 이 운동은 하체의 근력과 균형을 향상시키는 데 효과적입니다.,The Split Squat involves stepping one leg forward and extending the other leg back. This exercise effectively enhances lower body strength and balance.,Normal,30,8,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,10,12,15,0.37,,[3],1,1,1,1,하체,,https://youtu.be/8ZSuRXLv3VM,
103,스플릿 스쿼트(R),스플릿 스쿼트는 한 발을 앞으로 내디디고 다른 발은 뒤로 뻗어 수행하는 운동입니다. 이 운동은 하체의 근력과 균형을 향상시키는 데 도움이 됩니다.,The Split Squat involves stepping one foot forward and extending the other back. This exercise helps improve lower body strength and balance.,Normal,30,8,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",6,"[""하체""]",1,10,12,15,0.37,,[4],1,1,1,0,하체,,https://youtu.be/8ZSuRXLv3VM,
302,플랭크,"플랭크는 몸을 일직선으로 유지하면서 팔과 발끝으로 몸을 지탱하는 운동입니다. 복부, 등, 어깨의 근육을 강화하는 데 효과적이며, 전신의 안정성과 근력을 향상시킵니다.","Plank is an exercise where you maintain a straight body line supported by your arms and toes. It effectively strengthens the muscles of the abdomen, back, and shoulders, enhancing overall stability and strength.",Normal,20,1,"[""복직근"", ""복횡근"", ""척추기립근""]","[""Abs"", ""Core"", ""Lower Back""]",3.5,"[""코어""]",1,30,45,60,0.21,1,"[1,2]",,2,1,0,상체,,https://youtu.be/LLm_pT-pYIc,
303,월 스쿼트,"월 스쿼트는 벽에 등을 대고 서서, 다리를 약간 앞으로 뻗은 상태에서 허벅지가 바닥과 평행이 될 때까지 내려가는 운동입니다. 이 자세를 유지하면서 근육에 지속적인 텐션을 제공합니다.","Wall squats involve standing with your back against a wall and feet slightly forward, lowering down until the thighs are parallel to the floor. This position is held to maintain continuous tension in the muscles.",Normal,30,5,"[""대퇴사두근"", ""대둔근"", ""복직근""]","[""Quads"", ""Glutes"", ""Abs""]",5,"[""하체"", ""코어""]",1,10,15,25,0.31,,"[3,4]",1,2,1,0,하체,,https://youtu.be/BqzQfDqdtfA,
304,사이드 플랭크(L),"사이드 플랭크는 코어 근육을 강화하는 운동으로, 몸을 옆으로 누워 팔꿈치와 발의 측면을 지지점으로 사용합니다. 이 자세를 유지하면서 몸을 일직선으로 유지해야 합니다.",The side plank is a core strengthening exercise where you lie on your side and use your elbow and the side of your foot as support points. Maintain a straight line with your body while holding this position.,Normal,20,1,"[""외복사근"", ""복직근"", ""척추기립근""]","[""Obliques"", ""Abs"", ""Lower Back""]",3.5,"[""코어""]",1,30,45,60,0.21,0,[1],,2,1,2,상체,,https://youtu.be/GiGGCFe5zOY,
305,사이드 플랭크(R),"사이드 플랭크는 코어 근육을 강화하는 운동으로, 몸을 옆으로 누운 자세에서 팔과 발의 옆면을 지지하며 몸을 일직선으로 유지합니다. 이 자세를 유지하면서 코어 근육에 힘을 주어 안정성을 높입니다.","The side plank is a core strengthening exercise where you lie on your side, supporting your body on the side of your forearm and feet, keeping it in a straight line. Engage your core muscles to maintain stability throughout the pose.",Normal,20,2,"[""복직근"", ""외복사근"", ""복횡근""]","[""Abs"", ""Obliques"", ""Core""]",3.5,"[""코어""]",1,5,10,15,0.21,0,[2],,2,1,0,상체,,https://youtu.be/GiGGCFe5zOY,
306,원 레그 플랭크(L),"원 레그 플랭크는 한쪽 다리를 들고 수행하는 플랭크 변형 동작으로, 복부와 하체의 균형 및 안정성을 향상시키는 데 도움이 됩니다. 이 운동은 코어 근육을 강화하고, 체력 및 집중력을 향상시키는 데 효과적입니다.","The one-leg plank is a variation of the plank exercise performed by lifting one leg, which helps improve balance and stability in the abdomen and lower body. This exercise is effective in strengthening core muscles and enhancing physical fitness and concentration.",Hard,20,5,"[""복직근"", ""복횡근"", ""대둔근""]","[""Abs"", ""Core"", ""Glutes""]",4,"[""코어"", ""힙""]",1,10,15,20,0.25,0,"[1,2]",,2,1,1,상체,,https://youtu.be/rq-Rz56OfWI,
307,원 레그 플랭크(R),"원 레그 플랭크(R)는 한쪽 다리를 들고 수행하는 플랭크 변형 동작으로, 복부와 하체의 균형 및 안정성을 향상시키는 데 도움이 됩니다. 이 운동은 코어 근육을 강화하고, 체력과 집중력을 향상시키는 데 효과적입니다.","The One Leg Plank (R) is a variation of the plank exercise performed by lifting one leg, which helps improve balance and stability in the abdomen and lower body. This exercise is effective in strengthening core muscles and enhancing physical fitness and concentration.",Hard,20,5,"[""복직근"", ""복횡근"", ""대퇴이두근""]","[""Abs"", ""Core"", ""Hamstrings""]",4,"[""코어"", ""하체""]",1,10,15,25,0.25,0,"[1,2]",,2,1,0,상체,,https://youtu.be/rq-Rz56OfWI,
501,YTW,"YTW 운동은 어깨와 등 근육을 강화하는 운동으로, 몸을 Y, T, W 형태로 만들며 수행합니다. 이 운동은 특히 어깨 주변의 안정성과 근력을 향상시키는 데 도움이 됩니다.","The YTW exercise is designed to strengthen the shoulder and back muscles by forming the body into Y, T, and W shapes. It specifically aids in enhancing stability and strength around the shoulders.",Normal,30,8,"[""삼각근"", ""승모근"", ""광배근""]","[""Shoulders"", ""Traps"", ""Lats""]",3.5,"[""어깨"", ""등""]",1,10,12,15,0.21,,,,3,1,0,상체,,https://youtu.be/qqdxK-WP2Xw,
502,게 걸음,게 걸음 운동은 하체와 코어의 안정성을 강화하는데 도움을 줍니다. 이 운동은 사이드웨이 워킹 동작을 통해 특히 힙과 코어 근육을 타겟으로 합니다.,The crab walk exercise enhances lower body and core stability. It involves sideways walking movements that specifically target the hip and core muscles.,Normal,30,10,"[""대둔근"", ""내복사근"", ""대퇴이두근""]","[""Glutes"", ""Obliques"", ""Hamstrings""]",5,"[""하체"", ""코어""]",1,15,20,30,0.31,,,,3,1,0,하체,,https://youtu.be/oiOVBuUSjr4,
503,맨몸 데드리프트,"맨몸 데드리프트는 바벨이나 덤벨을 사용하지 않고, 자신의 몸무게만을 이용하여 허리와 다리의 근력을 강화하는 운동입니다. 이 운동은 특히 하체와 코어의 안정성을 향상시키는 데 도움이 됩니다.","The bodyweight deadlift is an exercise that strengthens the muscles of the lower back and legs using only one's body weight, without the need for barbells or dumbbells. It particularly helps in improving stability in the lower body and core.",Normal,60,12,"[""척추기립근"", ""대둔근"", ""대퇴이두근""]","[""Lower Back"", ""Glutes"", ""Hamstrings""]",3.5,"[""하체"", ""코어""]",1,15,20,30,0.21,,,,3,1,0,둘다,,https://youtu.be/_ipUryI9mMA,
504,발 뒤꿈치 터치,"발 뒤꿈치 터치는 누워서 수행하는 복부 운동으로, 무릎을 구부린 상태에서 양손을 사용하여 번갈아 가며 발 뒤꿈치를 터치합니다. 이 운동은 복부의 근육을 타깃으로 하여 코어의 안정성과 유연성을 향상시키는 데 도움을 줍니다.","Heel touches are an abdominal exercise performed lying down, bending the knees, and alternately using both hands to touch the heels. This exercise targets the abdominal muscles, enhancing core stability and flexibility.",Easy,30,15,"[""복직근"", ""외복사근"", ""내복사근""]","[""Abs"", ""Obliques"", ""Obliques""]",3.5,"[""코어""]",1,20,30,45,0.21,,,,3,1,0,상체,,https://youtu.be/Ln9_FaH0ljs,
505,브릿지,"브릿지 운동은 바닥에 누워 무릎을 구부리고 발바닥을 바닥에 대고 수행합니다. 엉덩이를 들어 올리면서 복부와 허리를 곧게 펴고, 최상단에서 잠시 멈춘 후 천천히 내려옵니다. 이 운동은 하체와 코어의 근력을 강화하는 데 효과적입니다.","The bridge exercise is performed by lying on the floor with knees bent and feet flat on the ground. Lift the hips while keeping the abdomen and back straight, pause at the top, and then slowly lower down. This exercise effectively strengthens the lower body and core muscles.",Easy,30,10,"[""대둔근"", ""대퇴이두근"", ""복직근""]","[""Glutes"", ""Hamstrings"", ""Abs""]",4,"[""하체"", ""코어""]",1,15,20,30,0.25,,,,3,1,0,하체,,https://www.youtube.com/watch?v=CTACbUBPRDI,
